id,name,localized_name,primary_attr,attack_type,roles/0,roles/1,roles/2,legs,roles/3,roles/4,roles/5
1,npc_dota_hero_antimage,Anti-Mage,agi,Melee,Carry,Escape,Nuker,2,,,
2,npc_dota_hero_axe,Axe,str,Melee,Offlane,Durable,Disabler,2,Jungler,Carry,
3,npc_dota_hero_bane,Bane,int,Ranged,Support,Disabler,Nuker,4,Durable,,
4,npc_dota_hero_bloodseeker,Bloodseeker,agi,Melee,Carry,Disabler,Jungler,2,Nuker,Offlane,
5,npc_dota_hero_crystal_maiden,Crystal Maiden,int,Ranged,Support,Disabler,Nuker,2,Jungler,,
6,npc_dota_hero_drow_ranger,Drow Ranger,agi,Ranged,Carry,Disabler,Pusher,2,,,
7,npc_dota_hero_earthshaker,Earthshaker,str,Melee,Support,Offlane,Disabler,2,Nuker,,
8,npc_dota_hero_juggernaut,Juggernaut,agi,Melee,Carry,Pusher,Escape,2,,,
9,npc_dota_hero_mirana,Mirana,agi,Ranged,Support,Support,Escape,2,Nuker,Disabler,
10,npc_dota_hero_morphling,Morphling,agi,Ranged,Carry,Escape,Durable,0,Nuker,Disabler,
11,npc_dota_hero_nevermore,Shadow Fiend,agi,Ranged,Mid,Nuker,,0,,,
12,npc_dota_hero_phantom_lancer,Phantom Lancer,agi,Melee,Carry,Escape,Pusher,2,Nuker,,
13,npc_dota_hero_puck,Puck,int,Ranged,Mid,Disabler,Escape,2,Nuker,,
14,npc_dota_hero_pudge,Pudge,str,Melee,Support,Offlane,Durable,2,Nuker,,
15,npc_dota_hero_razor,Razor,agi,Ranged,Carry,Durable,Nuker,0,Pusher,,
16,npc_dota_hero_sand_king,Sand King,str,Melee,Offlane,Disabler,Support,6,Nuker,Escape,Jungler
17,npc_dota_hero_storm_spirit,Storm Spirit,int,Ranged,Mid,Escape,Nuker,2,Offlane,Disabler,
18,npc_dota_hero_sven,Sven,str,Melee,Carry,Disabler,Offlane,2,Durable,Nuker,
19,npc_dota_hero_tiny,Tiny,str,Melee,Mid,Nuker,Pusher,2,Offlane,Durable,Disabler
20,npc_dota_hero_vengefulspirit,Vengeful Spirit,agi,Ranged,Support,Offlane,Disabler,2,Nuker,Escape,
21,npc_dota_hero_windrunner,Windranger,int,Ranged,Support,Support,Disabler,2,Escape,Nuker,
22,npc_dota_hero_zuus,Zeus,int,Ranged,Mid,Carry,,2,,,
23,npc_dota_hero_kunkka,Kunkka,str,Melee,Mid,Support,Disabler,2,Offlane,Durable,Nuker
25,npc_dota_hero_lina,Lina,int,Ranged,Mid,Carry,Nuker,2,Disabler,,
26,npc_dota_hero_lion,Lion,int,Ranged,Support,Disabler,Nuker,2,Offlane,,
27,npc_dota_hero_shadow_shaman,Shadow Shaman,int,Ranged,Support,Pusher,Disabler,2,Nuker,Offlane,
28,npc_dota_hero_slardar,Slardar,str,Melee,Offlane,Durable,Offlane,0,Disabler,Escape,
29,npc_dota_hero_tidehunter,Tidehunter,str,Melee,Offlane,Durable,Disabler,2,Nuker,Carry,
30,npc_dota_hero_witch_doctor,Witch Doctor,int,Ranged,Support,Nuker,Disabler,2,,,
31,npc_dota_hero_lich,Lich,int,Ranged,Support,Nuker,,2,,,
32,npc_dota_hero_riki,Riki,agi,Melee,Carry,Escape,Disabler,2,,,
33,npc_dota_hero_enigma,Enigma,int,Ranged,Offlane,Jungler,Offlane,0,Pusher,,
34,npc_dota_hero_tinker,Tinker,int,Ranged,Mid,Nuker,Pusher,2,,,
35,npc_dota_hero_sniper,Sniper,agi,Ranged,Mid,Nuker,,2,,,
36,npc_dota_hero_necrolyte,Necrophos,int,Ranged,Offlane,Nuker,Durable,2,Disabler,,
37,npc_dota_hero_warlock,Warlock,int,Ranged,Support,Offlane,Disabler,2,,,
38,npc_dota_hero_beastmaster,Beastmaster,str,Melee,Offlane,Disabler,Durable,2,Nuker,,
39,npc_dota_hero_queenofpain,Queen of Pain,int,Ranged,Mid,Nuker,Escape,2,,,
40,npc_dota_hero_venomancer,Venomancer,agi,Ranged,Support,Nuker,Offlane,0,Pusher,Disabler,
41,npc_dota_hero_faceless_void,Faceless Void,agi,Melee,Carry,Offlane,Disabler,2,Escape,Durable,
42,npc_dota_hero_skeleton_king,Wraith King,str,Melee,Carry,Support,Durable,2,Disabler,Offlane,
43,npc_dota_hero_death_prophet,Death Prophet,int,Ranged,Mid,Pusher,Nuker,2,Disabler,,
44,npc_dota_hero_phantom_assassin,Phantom Assassin,agi,Melee,Carry,Escape,,2,,,
45,npc_dota_hero_pugna,Pugna,int,Ranged,Mid,Pusher,,2,,,
46,npc_dota_hero_templar_assassin,Templar Assassin,agi,Ranged,Mid,Escape,,2,,,
47,npc_dota_hero_viper,Viper,agi,Ranged,Mid,Durable,Offlane,0,Disabler,,
48,npc_dota_hero_luna,Luna,agi,Ranged,Carry,Nuker,Pusher,2,,,
49,npc_dota_hero_dragon_knight,Dragon Knight,str,Melee,Mid,Pusher,Durable,2,Disabler,Offlane,Nuker
50,npc_dota_hero_dazzle,Dazzle,int,Ranged,Support,Nuker,Disabler,2,,,
51,npc_dota_hero_rattletrap,Clockwerk,str,Melee,Support,Disabler,Durable,2,Nuker,,
52,npc_dota_hero_leshrac,Leshrac,int,Ranged,Mid,Support,Nuker,4,Pusher,Disabler,
53,npc_dota_hero_furion,Nature's Prophet,int,Ranged,Offlane,Jungler,Pusher,2,Escape,Nuker,
54,npc_dota_hero_life_stealer,Lifestealer,str,Melee,Carry,Durable,Jungler,2,Escape,Disabler,
55,npc_dota_hero_dark_seer,Dark Seer,int,Melee,Offlane,Jungler,Escape,2,Disabler,,
56,npc_dota_hero_clinkz,Clinkz,agi,Ranged,Carry,Escape,Pusher,2,,,
57,npc_dota_hero_omniknight,Omniknight,str,Melee,Support,Durable,Nuker,2,,,
58,npc_dota_hero_enchantress,Enchantress,int,Ranged,Support,Jungler,Pusher,4,Durable,Disabler,
59,npc_dota_hero_huskar,Huskar,str,Ranged,Mid,Durable,Offlane,2,,,
60,npc_dota_hero_night_stalker,Night Stalker,str,Melee,Offlane,Offlane,Durable,2,Disabler,Nuker,
61,npc_dota_hero_broodmother,Broodmother,agi,Melee,Mid,Pusher,Escape,8,Nuker,,
62,npc_dota_hero_bounty_hunter,Bounty Hunter,agi,Melee,Support,Nuker,,2,,,
63,npc_dota_hero_weaver,Weaver,agi,Ranged,Carry,Escape,,4,,,
64,npc_dota_hero_jakiro,Jakiro,int,Ranged,Support,Nuker,Pusher,2,Disabler,,
65,npc_dota_hero_batrider,Batrider,int,Ranged,Offlane,Jungler,Disabler,2,Escape,,
66,npc_dota_hero_chen,Chen,int,Ranged,Support,Jungler,Pusher,2,,,
67,npc_dota_hero_spectre,Spectre,agi,Melee,Carry,Durable,Escape,0,,,
68,npc_dota_hero_ancient_apparition,Ancient Apparition,int,Ranged,Support,Disabler,Nuker,0,,,
69,npc_dota_hero_doom_bringer,Doom,str,Melee,Offlane,Disabler,Offlane,2,Durable,Nuker,
70,npc_dota_hero_ursa,Ursa,agi,Melee,Carry,Jungler,Durable,2,Disabler,,
71,npc_dota_hero_spirit_breaker,Spirit Breaker,str,Melee,Support,Offlane,Disabler,2,Durable,Escape,
72,npc_dota_hero_gyrocopter,Gyrocopter,agi,Ranged,Carry,Nuker,Disabler,2,,,
73,npc_dota_hero_alchemist,Alchemist,str,Melee,Mid,Support,Durable,2,Disabler,Offlane,Nuker
74,npc_dota_hero_invoker,Invoker,int,Ranged,Mid,Nuker,Disabler,2,Escape,Pusher,
75,npc_dota_hero_silencer,Silencer,int,Ranged,Support,Support,Disabler,2,Offlane,Nuker,
76,npc_dota_hero_obsidian_destroyer,Outworld Destroyer,int,Ranged,Mid,Nuker,Disabler,4,,,
77,npc_dota_hero_lycan,Lycan,str,Melee,Offlane,Pusher,Jungler,2,Durable,Escape,
78,npc_dota_hero_brewmaster,Brewmaster,str,Melee,Offlane,Offlane,Durable,2,Disabler,Nuker,
79,npc_dota_hero_shadow_demon,Shadow Demon,int,Ranged,Support,Disabler,Offlane,2,Nuker,,
80,npc_dota_hero_lone_druid,Lone Druid,agi,Ranged,Carry,Pusher,Jungler,2,Durable,,
81,npc_dota_hero_chaos_knight,Chaos Knight,str,Melee,Carry,Disabler,Durable,2,Pusher,Offlane,
82,npc_dota_hero_meepo,Meepo,agi,Melee,Mid,Escape,Nuker,2,Disabler,Offlane,Pusher
83,npc_dota_hero_treant,Treant Protector,str,Melee,Support,Offlane,Durable,2,Disabler,Escape,
84,npc_dota_hero_ogre_magi,Ogre Magi,int,Melee,Support,Nuker,Disabler,2,Durable,Offlane,
85,npc_dota_hero_undying,Undying,str,Melee,Support,Durable,Disabler,2,Nuker,,
86,npc_dota_hero_rubick,Rubick,int,Ranged,Support,Disabler,Nuker,2,,,
87,npc_dota_hero_disruptor,Disruptor,int,Ranged,Support,Disabler,Nuker,2,Offlane,,
88,npc_dota_hero_nyx_assassin,Nyx Assassin,agi,Melee,Support,Nuker,Offlane,6,Escape,,
89,npc_dota_hero_naga_siren,Naga Siren,agi,Melee,Carry,Support,Pusher,0,Disabler,Offlane,Escape
90,npc_dota_hero_keeper_of_the_light,Keeper of the Light,int,Ranged,Support,Nuker,Disabler,2,Jungler,,
91,npc_dota_hero_wisp,Io,str,Ranged,Support,Escape,Nuker,0,,,
92,npc_dota_hero_visage,Visage,int,Ranged,Support,Nuker,Durable,2,Disabler,Pusher,
93,npc_dota_hero_slark,Slark,agi,Melee,Carry,Escape,Disabler,2,Nuker,,
94,npc_dota_hero_medusa,Medusa,agi,Ranged,Carry,Disabler,Durable,0,,,
95,npc_dota_hero_troll_warlord,Troll Warlord,agi,Ranged,Carry,Pusher,Disabler,2,Durable,,
96,npc_dota_hero_centaur,Centaur Warrunner,str,Melee,Offlane,Offlane,Disabler,4,Nuker,Escape,
97,npc_dota_hero_magnataur,Magnus,str,Melee,Offlane,Disabler,Nuker,4,Escape,,
98,npc_dota_hero_shredder,Timbersaw,str,Melee,Offlane,Durable,Escape,2,,,
99,npc_dota_hero_bristleback,Bristleback,str,Melee,Offlane,Durable,Offlane,2,Nuker,,
100,npc_dota_hero_tusk,Tusk,str,Melee,Support,Disabler,Nuker,2,,,
101,npc_dota_hero_skywrath_mage,Skywrath Mage,int,Ranged,Support,Nuker,Disabler,2,,,
102,npc_dota_hero_abaddon,Abaddon,str,Melee,Support,Carry,Durable,2,,,
103,npc_dota_hero_elder_titan,Elder Titan,str,Melee,Support,Disabler,Nuker,2,Durable,,
104,npc_dota_hero_legion_commander,Legion Commander,str,Melee,Offlane,Disabler,Offlane,2,Durable,Nuker,
105,npc_dota_hero_techies,Techies,int,Ranged,Support,Disabler,,6,,,
106,npc_dota_hero_ember_spirit,Ember Spirit,agi,Melee,Mid,Escape,Nuker,2,Disabler,Offlane,
107,npc_dota_hero_earth_spirit,Earth Spirit,str,Melee,Support,Escape,Disabler,2,Offlane,Durable,
108,npc_dota_hero_abyssal_underlord,Underlord,str,Melee,Offlane,Nuker,Disabler,2,Durable,Escape,
109,npc_dota_hero_terrorblade,Terrorblade,agi,Melee,Carry,Pusher,Nuker,2,,,
110,npc_dota_hero_phoenix,Phoenix,str,Ranged,Support,Nuker,Offlane,2,Escape,Disabler,
111,npc_dota_hero_oracle,Oracle,int,Ranged,Support,Nuker,Disabler,0,Escape,,
112,npc_dota_hero_winter_wyvern,Winter Wyvern,int,Ranged,Support,Disabler,Nuker,2,,,
113,npc_dota_hero_arc_warden,Arc Warden,agi,Ranged,Mid,Escape,Nuker,2,,,
114,npc_dota_hero_monkey_king,Monkey King,agi,Melee,Carry,Escape,Disabler,2,Offlane,,
119,npc_dota_hero_dark_willow,Dark Willow,int,Ranged,Support,Nuker,Disabler,2,Escape,,
120,npc_dota_hero_pangolier,Pangolier,agi,Melee,Offlane,Nuker,Disabler,2,Durable,Escape,Offlane
121,npc_dota_hero_grimstroke,Grimstroke,int,Ranged,Support,Nuker,Disabler,0,Escape,,
123,npc_dota_hero_hoodwink,Hoodwink,agi,Ranged,Support,Nuker,Escape,4,Disabler,,
126,npc_dota_hero_void_spirit,Void Spirit,int,Melee,Mid,Escape,Nuker,2,Disabler,,
128,npc_dota_hero_snapfire,Snapfire,str,Ranged,Support,Nuker,Disabler,2,Escape,,
129,npc_dota_hero_mars,Mars,str,Melee,Offlane,Offlane,Disabler,2,Durable,,
135,npc_dota_hero_dawnbreaker,Dawnbreaker,str,Melee,Offlane,Durable,,2,,,
136,npc_dota_hero_marci,Marci,str,Melee,Offlane,Carry,Offlane,2,Disabler,Escape,
